screen_point_index,x,y,z,field_name,value
0,0.006288111209869385,0.9999465942382812,0.008201727643609047,record_signature,0.8694206378031122
1,-0.006972789764404297,0.9998855590820312,-0.013425682671368122,record_signature,0.022338123436641048
2,-0.006291419267654419,0.9993820190429688,0.0345832034945488,record_signature,0.30302225497726254
3,-0.03804582729935646,0.9989700317382812,-0.024726316332817078,record_signature,0.5537772971213555
4,0.04748079925775528,0.9988327026367188,0.008877270855009556,record_signature,0.147991444930051
5,-0.02170274220407009,0.9987411499023438,0.04522285237908363,record_signature,0.455614037422251
6,0.0525924414396286,0.9975509643554688,0.046109747141599655,record_signature,0.326365827397563
7,0.0013139392249286175,0.9969863891601562,0.07756554335355759,record_signature,0.16553604510592151
8,-0.04999326914548874,0.9949722290039062,-0.08678096532821655,record_signature,0.1051618005612143
9,0.10333339869976044,0.9945602416992188,-0.013120008632540703,record_signature,0.0348065377888344
10,0.03235747665166855,0.9944076538085938,-0.10053065419197083,record_signature,0.4405657763186131
11,-0.02683652564883232,0.9943313598632812,-0.10288317501544952,record_signature,0.46487524949446957
12,0.00855143554508686,0.9942703247070312,0.10655231028795242,record_signature,0.15843856373953
13,-0.11209401488304138,0.9933395385742188,-0.0266738124191761,record_signature,0.4913957696603777
14,-0.03645453229546547,0.9933090209960938,0.10958218574523926,record_signature,0.7733951901849092
15,0.11527427285909653,0.9930801391601562,0.022442786023020744,record_signature,0.22747586497240357
16,0.12101475149393082,0.9925613403320312,0.013319732621312141,record_signature,0.5585824918326528
17,0.11851272732019424,0.9916458129882812,-0.050924595445394516,record_signature,0.12172661861586719
18,0.11282810568809509,0.9916000366210938,0.06323911249637604,record_signature,0.5150648440744132
19,0.048864781856536865,0.9913711547851562,-0.12163661420345306,record_signature,0.5389338329632267
20,0.10671665519475937,0.9895706176757812,-0.09675509482622147,record_signature,0.2936229156777637
21,0.1340341717004776,0.9888839721679688,0.06436870992183685,record_signature,0.8427867664205001
22,-0.13078653812408447,0.9883041381835938,-0.0784207284450531,record_signature,0.293832898500074
23,-0.03907487913966179,0.9870376586914062,0.1556592881679535,record_signature,0.1453009862237979
24,-0.004776308313012123,0.9868392944335938,0.16163352131843567,record_signature,0.7338785679564009
25,-0.15538036823272705,0.9861526489257812,0.05796457454562187,record_signature,0.5156150408571348
26,-0.15028157830238342,0.9855880737304688,-0.07766333967447281,record_signature,0.659684361974304
27,0.014614371582865715,0.9849624633789062,0.17214925587177277,record_signature,0.8246111849059706
28,0.17312973737716675,0.9846115112304688,0.023796366527676582,record_signature,0.6391363859949066
29,-0.036699358373880386,0.9841842651367188,-0.17330461740493774,record_signature,0.5526340630491757
30,0.034907206892967224,0.9832229614257812,-0.17903657257556915,record_signature,0.992151035593345
31,-0.18635939061641693,0.9824752807617188,0.0035355628933757544,record_signature,0.23829478317491892
32,0.0754033625125885,0.9806900024414062,0.18044792115688324,record_signature,0.5559025296853359
33,0.06249475106596947,0.9793472290039062,-0.1922847181558609,record_signature,0.43533260259953843
34,-0.2051367610692978,0.9778823852539062,0.04080383479595184,record_signature,0.6378181145938819
35,-0.1573558896780014,0.9778366088867188,-0.1381111443042755,record_signature,0.12445102437291516
36,-0.1514422744512558,0.9778060913085938,0.14477737247943878,record_signature,0.7281253863585808
37,0.16626285016536713,0.9772262573242188,-0.1318541020154953,record_signature,0.505357928485201
38,0.20600464940071106,0.9771804809570312,0.05177251994609833,record_signature,0.2414769060382473
39,-0.1889704316854477,0.9758071899414062,0.10995683819055557,record_signature,0.6955168512505994
40,-0.03937562182545662,0.9750137329101562,0.21862703561782837,record_signature,0.538713801159729
41,-0.1993740350008011,0.9740829467773438,-0.10682886838912964,record_signature,0.7248735790826674
42,-0.18178823590278625,0.9739303588867188,0.13569337129592896,record_signature,0.8323441922466245
43,-0.014715655706822872,0.9731369018554688,0.2297564297914505,record_signature,0.4755891138831629
44,-0.221082404255867,0.9724502563476562,0.0739125981926918,record_signature,0.4466517061508854
45,0.017295008525252342,0.9720382690429688,-0.23418472707271576,record_signature,0.15965390947285565
46,-0.0882411077618599,0.9716567993164062,0.21930930018424988,record_signature,0.42878189770417746
47,0.2165471464395523,0.9694290161132812,0.11538942158222198,record_signature,0.0374542011764891
48,-0.24473127722740173,0.9692916870117188,-0.02408783510327339,record_signature,0.925746644896944
49,-0.17228034138679504,0.9690475463867188,-0.17682290077209473,record_signature,0.31147899553775316
50,-0.13832618296146393,0.9682998657226562,0.20799335837364197,record_signature,0.6754383240788601
51,0.22483938932418823,0.9680709838867188,0.11084140837192535,record_signature,0.5872595255131884
52,0.24800048768520355,0.9655990600585938,-0.07819344848394394,record_signature,0.28249000446992456
53,-0.21054019033908844,0.9646224975585938,0.1586703062057495,record_signature,0.0887914033948359
54,0.0762886255979538,0.9639511108398438,0.25490841269493103,record_signature,0.36660298955081544
55,0.006254015956073999,0.9633102416992188,0.26831746101379395,record_signature,0.25749495622913404
56,0.07597748935222626,0.9629287719726562,-0.2588350772857666,record_signature,0.3105226251757044
57,-0.2703453600406647,0.9619827270507812,0.03876353055238724,record_signature,0.8987756441823
58,-0.2588050067424774,0.9615402221679688,-0.09198027849197388,record_signature,0.5388084294245462
59,-0.08452066779136658,0.9614944458007812,-0.2615046501159668,record_signature,0.4184282064461318
60,-0.21864469349384308,0.9610671997070312,0.16895069181919098,record_signature,0.21816833075499859
61,0.23422996699810028,0.9606399536132812,0.1493559628725052,record_signature,0.9655607513976562
62,0.2780599892139435,0.9605636596679688,0.0003023716271854937,record_signature,0.42219836039876146
63,-0.03553441911935806,0.9603347778320312,-0.2765762507915497,record_signature,0.4610501058814023
64,0.18222975730895996,0.9597702026367188,-0.21361993253231049,record_signature,0.29554841236770246
65,-0.15586751699447632,0.9589920043945312,0.23672695457935333,record_signature,0.5777896841109865
66,-0.18835242092609406,0.9589004516601562,-0.2122104912996292,record_signature,0.3869796809686464
67,-0.27307045459747314,0.9588241577148438,-0.07803049683570862,record_signature,0.3686320574532833
68,0.2758274972438812,0.9577255249023438,0.08173743635416031,record_signature,0.4162015932184121
69,-0.09470716118812561,0.9574356079101562,0.2726675868034363,record_signature,0.6000714730021274
70,0.21674057841300964,0.9559249877929688,0.19806800782680511,record_signature,0.3663435493872609
71,-0.2253846526145935,0.9556655883789062,-0.18948625028133392,record_signature,0.2539200150331037
72,-0.26138368248939514,0.9554672241210938,-0.1369706243276596,record_signature,0.7439689156564866
73,-0.21840845048427582,0.9526290893554688,-0.21164964139461517,record_signature,0.16119595253376
74,0.07533112168312073,0.9522628784179688,-0.295838862657547,record_signature,0.4957695123327122
75,-0.2975866198539734,0.9521560668945312,0.06957753747701645,record_signature,0.8143167933960109
76,-0.19616056978702545,0.9515609741210938,0.23675459623336792,record_signature,0.5089509336394374
77,0.24645711481571198,0.9506607055664062,-0.18842269480228424,record_signature,0.06958233042923084
78,0.14211712777614594,0.9500503540039062,0.2778615653514862,record_signature,0.8542672045357667
79,0.2893083989620209,0.9500198364257812,-0.1173156276345253,record_signature,0.6429911579638559
80,-0.3124334216117859,0.9496383666992188,0.023923251777887344,record_signature,0.7702748846945039
81,-0.061705417931079865,0.9484481811523438,0.3108673095703125,record_signature,0.5324615445501849
82,0.30180609226226807,0.9475784301757812,0.10491996258497238,record_signature,0.7617469620574226
83,0.27753838896751404,0.9467849731445312,-0.16300508379936218,record_signature,0.30329405517249597
84,-0.3038177192211151,0.9464797973632812,-0.10895316302776337,record_signature,0.33803942974050166
85,0.27322953939437866,0.9440689086914062,-0.18460635840892792,record_signature,0.982935306458034
86,-0.18233779072761536,0.9439315795898438,0.2752200961112976,record_signature,0.9010607695934132
87,0.33149439096450806,0.9422683715820312,-0.04734746366739273,record_signature,0.6524616449108878
88,-0.12753921747207642,0.9415359497070312,0.31183937191963196,record_signature,0.9111172563153479
89,-0.07361385971307755,0.9412002563476562,-0.329731822013855,record_signature,0.6852865666458933
90,-0.2715425491333008,0.9402542114257812,0.20539391040802002,record_signature,0.9287905178794744
91,0.3076986074447632,0.9401473999023438,0.14643920958042145,record_signature,0.5301913828682318
92,0.2390294075012207,0.9400253295898438,0.24334609508514404,record_signature,0.9269556901127286
93,-0.31414395570755005,0.9398880004882812,-0.13388097286224365,record_signature,0.21680117009218
94,0.1888677179813385,0.9392776489257812,-0.28650739789009094,record_signature,0.9341279513922301
95,0.3155791163444519,0.9387893676757812,0.13814610242843628,record_signature,0.08330241317051924
96,-0.29500818252563477,0.9385757446289062,0.1790132373571396,record_signature,0.7059352390115101
97,-0.27852678298950195,0.9378890991210938,-0.2068498581647873,record_signature,0.43022562859110136
98,-0.30576634407043457,0.9377365112304688,0.16479434072971344,record_signature,0.8830759939161101
