sweep,mean_plaquette
0,0.7054001702408261
1,0.764254595209267
2,0.1868928415027078
3,0.12012023271126426
4,0.16381538291898648
5,0.3122933899692594
6,0.14799896592366835
7,0.5159772407749452
8,0.476020261693724
9,0.23313913023996874
10,0.415385303345434
11,-0.048544090994398006
12,0.24121089490109418
13,0.2595543582508241
14,0.07290119655186225
15,0.18952851796183606
16,0.3136752401605038
17,0.38662360246521105
18,0.3655137740613072
19,0.48476873138341686
20,0.045462014134143296
21,0.36894758234312364
22,0.3753431825073326
23,0.26744777553238164
24,0.18416950338340135
25,0.33552110396252005
26,0.12150017460601847
27,0.36338183263381735
28,0.019424325110997537
29,-0.30069982351049396
30,0.25491117665814506
31,0.19596668487967167
