object_id,record_family_id,x,y,z,observer_count,support_size,h3_compactness,h3_compactness_normalized
observer_mixture_cluster_000000_component_000,,0.10818676246615336,0.373613916594395,0.7160049631699473,1037.0,0.0,1.7614914856832895,0.663754315943806
observer_mixture_cluster_000000_component_001,,2.8346797308028404,-1.9125582008076363,0.6557693106385132,18.0,0.0,0.5096252305812332,0.19203382421172258
observer_mixture_cluster_000000_component_002,,2.1452767750737185,0.4323777939256505,2.4509166506472333,6.0,0.0,0.0,0.0
observer_mixture_cluster_000000_component_003,,-2.1894313964135446,0.7767767785899321,0.9539053543383005,5.0,0.0,0.17083099272705118,0.06437147703587157
observer_mixture_cluster_000004_component_000,,0.010320836683245715,0.1169348709462825,0.4653080140867993,970.0,0.0,1.689226124993219,0.63652373013563
observer_mixture_cluster_000004_component_001,,2.589576875531807,-2.092898110076927,0.7681773052910097,10.0,0.0,0.7008656852075019,0.26409586832203075
observer_mixture_cluster_000006_component_000,,-0.2673981185358191,0.09893993193899614,0.575192729622488,940.0,0.0,1.6628870524690624,0.6265988038967251
observer_mixture_cluster_000006_component_001,,2.7975723260176895,-1.8073442069412349,0.6576358246616911,20.0,0.0,0.7847852174976394,0.2957179069195987
observer_mixture_cluster_000006_component_002,,2.145276775073719,0.4323777939256505,2.4509166506472333,5.0,0.0,0.0,0.0
observer_mixture_cluster_000006_component_003,,-1.6906551549186568,-1.5201781863022865,-0.17934998001953562,4.0,0.0,0.24114390804709013,0.09086635446763135
observer_mixture_cluster_000010_component_000,,-0.519127625569364,-0.1432423288388857,0.8769893565871308,784.0,0.0,1.6381923791844002,0.6172935099984928
observer_mixture_cluster_000010_component_001,,1.553126463994437,3.058045785458811,0.4145467930886048,170.0,0.0,0.6205223008299418,0.23382137164034425
observer_mixture_cluster_000010_component_002,,-1.5956648822690453,-1.4053558204155223,-0.4700166761349962,7.0,0.0,0.39452151305431127,0.14866115399978846
observer_mixture_cluster_000010_component_003,,-2.1560142328184804,0.8542725886721947,0.984150789830986,4.0,0.0,0.1459541209882509,0.05499752824417243
observer_mixture_cluster_000014_component_000,,0.17467251385043842,0.48563152452798763,0.8766084477422718,893.0,0.0,1.7963344926906584,0.67688364212538
observer_mixture_cluster_000014_component_001,,2.5885587529936194,-2.1300906671950046,0.740048786875946,19.0,0.0,0.6380251379338622,0.24041668235482214
observer_mixture_cluster_000014_component_002,,-2.167998111140507,0.78847579074278,0.9250002124201139,10.0,0.0,0.31322817736905045,0.11802870254764328
