worldline_id,event_index,cycle,x,y,z,fit_residual,support_node_count,particle_like
worldline_000000,0,0.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,1,4.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,2,8.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,3,12.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,4,16.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,5,20.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,6,24.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,7,28.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,8,32.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,9,36.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,10,40.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,11,45.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,12,49.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,13,53.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,14,57.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,15,61.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,16,65.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,17,69.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
worldline_000000,18,73.0,-0.8227408743193979,-3.047768119196713,1.1152373008460785,0.5079676481899573,6,False
