row,col,rho_A
0,0.0009090909090909091,0.8657333341409282
1,0.0009090909090909091,0.8672983282791071
2,0.0009090909090909091,0.8663410160940018
3,0.0009090909090909091,0.8673360478731981
4,0.0009090909090909091,0.8673470946542609
5,0.0009090909090909091,0.8681784187622666
6,0.0009090909090909091,0.8686416029954201
7,0.0009090909090909091,0.8680733661320529
8,0.01,0.8657333341409282
9,0.01,0.8672983282791071
10,0.01,0.8663410160940018
11,0.01,0.8673360478731981
12,0.01,0.8673470946542609
13,0.01,0.8681784187622666
14,0.01,0.8686416029954201
15,0.01,0.8680733661320529
16,0.1,0.8657333341409282
17,0.1,0.8672983282791071
18,0.1,0.8663410160940018
19,0.1,0.8673360478731981
20,0.1,0.8673470946542609
21,0.1,0.8681784187622666
22,0.1,0.8686416029954201
23,0.1,0.8680733661320529
24,1.0,0.8657333341409282
25,1.0,0.8672983282791071
26,1.0,0.8663410160940018
27,1.0,0.8673360478731981
28,1.0,0.8673470946542609
29,1.0,0.8681784187622666
30,1.0,0.8686416029954201
31,1.0,0.8680733661320529
