cycle,h3_separation,left_h3_spatial_point,local_readout_contraction,mode,right_h3_spatial_point,step,stress_kernel,tangent_separation
0,1.1999999999999997,"[-0.6, 0.0, 0.0]",0.9836065573770492,stress_contraction,"[0.6, 0.0, 0.0]",0,0.40983606557377056,1.2
1,1.167213114754098,"[-0.5836065573770491, 0.0, 0.0]",0.9830679692939147,stress_contraction,"[0.5836065573770491, 0.0, 0.0]",1,0.4233007676521313,1.1672131147540983
2,1.1333490533419275,"[-0.5666745266709639, 0.0, 0.0]",0.9824905454821966,stress_contraction,"[0.5666745266709639, 0.0, 0.0]",2,0.43773636294508467,1.1333490533419277
3,1.098330144306321,"[-0.5491650721531605, 0.0, 0.0]",0.9818703384308438,stress_contraction,"[0.5491650721531605, 0.0, 0.0]",3,0.4532415392289058,1.098330144306321
4,1.0620708211680083,"[-0.5310354105840043, 0.0, 0.0]",0.9812029583106194,stress_contraction,"[0.5310354105840043, 0.0, 0.0]",4,0.46992604223451373,1.0620708211680085
5,1.0244767377892472,"[-0.5122383688946237, 0.0, 0.0]",0.9804835454001348,stress_contraction,"[0.5122383688946237, 0.0, 0.0]",5,0.4879113649966289,1.0244767377892474
6,0.9854438285895171,"[-0.49272191429475853, 0.0, 0.0]",0.9797067579782904,stress_contraction,"[0.49272191429475853, 0.0, 0.0]",6,0.5073310505427397,0.9854438285895171
7,0.9448573445460978,"[-0.47242867227304897, 0.0, 0.0]",0.9788667886154768,stress_contraction,"[0.47242867227304897, 0.0, 0.0]",7,0.5283302846130795,0.9448573445460979
8,0.9025909217770514,"[-0.4512954608885258, 0.0, 0.0]",0.9779574292854762,stress_contraction,"[0.4512954608885258, 0.0, 0.0]",8,0.5510642678630948,0.9025909217770516
9,0.858505780348004,"[-0.429252890174002, 0.0, 0.0]",0.9769722169927499,stress_contraction,"[0.429252890174002, 0.0, 0.0]",9,0.5756945751812502,0.858505780348004
10,0.8124502143335036,"[-0.406225107166752, 0.0, 0.0]",0.9759047081920509,stress_contraction,"[0.406225107166752, 0.0, 0.0]",10,0.6023822951987273,0.812450214333504
11,0.7642596307176059,"[-0.38212981535880286, 0.0, 0.0]",0.9747489538329975,stress_contraction,"[0.38212981535880286, 0.0, 0.0]",11,0.6312761541750616,0.7642596307176057
12,0.7137575383836008,"[-0.3568787691918004, 0.0, 0.0]",0.9735002784626412,stress_contraction,"[0.3568787691918004, 0.0, 0.0]",12,0.6624930384339713,0.7137575383836008
13,0.6607580953088831,"[-0.33037904765444154, 0.0, 0.0]",0.9721565050098685,stress_contraction,"[0.33037904765444154, 0.0, 0.0]",13,0.6960873747532865,0.6607580953088831
14,0.6050711053286206,"[-0.3025355526643101, 0.0, 0.0]",0.970719803328217,stress_contraction,"[0.3025355526643101, 0.0, 0.0]",14,0.7320049167945772,0.6050711053286202
15,0.5465107119850537,"[-0.273255355992527, 0.0, 0.0]",0.969199351581734,stress_contraction,"[0.273255355992527, 0.0, 0.0]",15,0.7700162104566501,0.546510711985054
16,0.48490941514852137,"[-0.24245470757426096, 0.0, 0.0]",0.967614932240752,stress_contraction,"[0.24245470757426096, 0.0, 0.0]",16,0.8096266939811998,0.4849094151485219
17,0.42013927963002595,"[-0.21006963981501298, 0.0, 0.0]",0.9660013416599795,stress_contraction,"[0.21006963981501298, 0.0, 0.0]",17,0.8499664585005126,0.42013927963002595
