model_name,model_type,n_params,objective_low_exact_plus_high_gaussian,delta_objective_improvement_vs_LCDM,low_exact_neg2logL,delta_low_neg2logL_vs_LCDM,high_l_chi2_30_1200,high_l_penalty_vs_LCDM,saturated_deviance_low_l,AIC_guardrail,BIC_guardrail,delta_AIC_vs_LCDM,delta_BIC_vs_LCDM,q_IR,ell_IR,epsilon_P,ell_P
LCDM_fullskyTT_highl_guardrail,LCDM,0,8190.2344486859265,0.0,6923.032019386598,0.0,1267.2024292993283,0.0,26.61182892362513,8190.2344486859265,8190.2344486859265,0.0,0.0,,,,
OPH_IR_v05_diag_q0p2446_ell33p615,IR,2,8194.015969363183,-3.7815206772565944,6923.763452641,-0.7314332544019635,1270.2525167221838,3.0500874228555404,27.343262178026876,8198.015969363183,8208.194455673238,7.781520677256594,17.960006987311317,0.24455450678659912,33.614958176528,,
OPH_IR_reference_q0p15_ell6,IR,0,8190.0492034990775,0.18524518684898794,6922.84677419975,0.18524518684807845,1267.2024292993274,-9.094947017729282e-13,26.42658373677656,8190.0492034990775,8190.0492034990775,-0.18524518684898794,-0.18524518684898794,0.15,6.0,,
OPH_IR_guardrailed_fullskyTT_highl_fit,IR,2,8187.222648337823,3.0118003481038613,6919.431757605857,3.6002617807416755,1267.790890731966,0.5884614326378141,23.011567142883123,8191.222648337823,8201.401134647878,0.9881996518961387,11.16668596195177,0.11744834701098997,29.287394882009078,,
OPH_IR_plus_parity_guardrailed_fullskyTT_highl_fit,IR_parity,4,8181.138833255106,9.095615430820544,6913.310944559363,9.721074827235498,1267.8278886957432,0.6254593964149535,16.89075409638874,8189.138833255106,8209.495805875216,-1.0956154308205441,19.26135718928981,0.11307895409663167,29.738681512540918,-0.98,4.620775680215323
