source_run_dir,seed,max_model_points,k_neighbors,observer_count,sampled_observer_count,graph_geometry_receipt,spatial_3d_candidate,strict_h3_candidate,rank3_selector,model_order_consensus_rank,model_order_profile_rank,model_order_broken_stick_rank,model_order_rank3_selector,median_dimension,selected_model,h3_beats_s2,h3_beats_h2_h4,s2_leakage_pass,largest_gap_rank,rank3_cumulative_explained_variance,effective_rank,nontrivial_rank3_selector,nontrivial_largest_gap_rank,nontrivial_model_order_consensus_rank,nontrivial_model_order_profile_rank,nontrivial_model_order_broken_stick_rank,nontrivial_model_order_rank3_selector,nontrivial_rank3_cumulative_explained_variance,nontrivial_effective_rank,edge_count,component_count,blockers,error
runs/oph_universe_128k_3p1d_earned,7,1024,24,8192,1024,False,False,False,False,12,12,12,False,1.495520243551566,H3,True,True,False,15,0.014693088782275198,278.76455543895116,False,14,12,12,12,False,0.01476540525236829,277.8247018224726,5501,19,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,512,8,8192,512,False,False,False,False,12,12,12,False,1.4315919020817316,H3,True,True,False,3,0.02420405319533925,147.56720784454689,False,2,12,12,12,False,0.024400920252609044,146.5844598134841,1162,115,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,512,12,8192,512,False,False,False,False,12,12,12,False,1.4310695307300265,H3,True,True,False,1,0.024212284807671056,147.52936272540458,False,3,12,12,12,False,0.024409286338598426,146.54663225323634,1178,115,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,512,16,8192,512,False,False,False,False,12,12,12,False,1.4310695307300265,H3,True,True,False,1,0.024212284807671056,147.52936272540458,False,3,12,12,12,False,0.024409286338598426,146.54663225323634,1178,115,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,512,24,8192,512,False,False,False,False,12,12,12,False,1.4310695307300265,H3,True,True,False,1,0.024212284807671056,147.52936272540458,False,3,12,12,12,False,0.024409286338598426,146.54663225323634,1178,115,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,768,8,8192,768,False,False,False,False,12,12,12,False,1.2404609656023124,H4,True,False,False,2,0.01719074427403202,218.53128261863887,False,1,12,12,12,False,0.01728981922766097,217.56089620973572,2572,73,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,768,12,8192,768,False,False,False,False,12,12,12,False,1.2563098016624106,H4,True,False,False,1,0.01725579182212954,218.06535661642803,False,1,12,12,12,False,0.017355620144850696,217.09543857394561,2754,73,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,768,16,8192,768,False,False,False,False,12,12,12,False,1.2570274391364282,H4,True,False,False,2,0.01725803739976602,218.0588148542776,False,1,12,12,12,False,0.017357891781615394,217.08892548262355,2765,73,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,768,24,8192,768,False,False,False,False,12,12,12,False,1.2570274391364282,H4,True,False,False,2,0.01725803739976602,218.0588148542776,False,1,12,12,12,False,0.017357891781615394,217.08892548262355,2765,73,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,1024,8,8192,1024,False,False,False,False,12,12,12,False,1.3708659920012978,H3,True,True,False,15,0.015014251414623,268.99922111909126,False,15,12,12,12,False,0.015089771957944958,268.05354876499064,4307,24,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,1024,12,8192,1024,False,False,False,False,12,12,12,False,1.3855024139080567,H3,True,True,False,15,0.01528155540440926,266.76515268980245,False,15,12,12,12,False,0.015359795928570202,265.8233097648585,5245,24,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,1024,16,8192,1024,False,False,False,False,12,12,12,False,1.3872537876539863,H3,True,True,False,15,0.01530797215540458,266.65246083307505,False,15,12,12,12,False,0.015386484112190893,265.7111668540289,5510,24,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,11,1024,24,8192,1024,False,False,False,False,12,12,12,False,1.3872295007211242,H3,True,True,False,15,0.015308862953855572,266.6503618800091,False,15,12,12,12,False,0.015387384071846963,265.70908913153795,5530,24,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,512,8,8192,512,False,False,False,False,12,12,12,False,1.823056662972872,H3,True,True,False,2,0.022494324659717277,153.45910815960718,False,1,12,12,12,False,0.022664263762130207,152.47001146558256,1071,118,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,512,12,8192,512,False,False,False,False,12,12,12,False,1.8231561231826507,H3,True,True,False,1,0.02249622014619193,153.45681337577787,False,1,12,12,12,False,0.02266618799788372,152.46772797390204,1077,118,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,512,16,8192,512,False,False,False,False,12,12,12,False,1.8231561231826507,H3,True,True,False,1,0.02249622014619193,153.45681337577787,False,1,12,12,12,False,0.02266618799788372,152.46772797390204,1077,118,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,512,24,8192,512,False,False,False,False,12,12,12,False,1.8231561231826507,H3,True,True,False,1,0.02249622014619193,153.45681337577787,False,1,12,12,12,False,0.02266618799788372,152.46772797390204,1077,118,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,768,8,8192,768,False,False,False,False,12,12,12,False,1.0389657239652812,H4,True,False,False,2,0.017397512566661298,218.4325910861063,False,1,12,12,12,False,0.017498992212300425,217.46557130696692,2605,60,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,768,12,8192,768,False,False,False,False,12,12,12,False,1.0403303103169794,H4,True,False,False,3,0.01747138516666558,217.93164121787225,False,2,12,12,12,False,0.017573730974220894,216.96521048547822,2829,60,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,768,16,8192,768,False,False,False,False,12,12,12,False,1.0406456625516243,H4,True,False,False,1,0.01747302956227605,217.92891469102597,False,8,12,12,12,False,0.017575394692620303,216.9625088349431,2846,60,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,768,24,8192,768,False,False,False,False,12,12,12,False,1.0406456625516243,H4,True,False,False,1,0.01747302956227605,217.92891469102597,False,8,12,12,12,False,0.017575394692620303,216.9625088349431,2846,60,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,1024,8,8192,1024,False,False,False,False,12,12,12,False,1.4312712940346737,H3,True,True,False,12,0.015270327160785482,268.1711182464609,False,15,12,12,12,False,0.015348452457598574,267.2311886184724,4356,22,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,1024,12,8192,1024,False,False,False,False,12,12,12,False,1.450354746457792,H3,True,True,False,13,0.01557098596506009,266.06657640250876,False,15,12,12,12,False,0.015652226163028908,265.13174092244486,5320,22,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,1024,16,8192,1024,False,False,False,False,12,12,12,False,1.4530564498580696,H3,True,True,False,9,0.01561669130864179,265.83105355017767,False,15,12,12,12,False,0.015698410384981328,264.89714033505555,5666,22,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
runs/oph_universe_128k_3p1d_earned,17,1024,24,8192,1024,False,False,False,False,12,12,12,False,1.453179981699166,H3,True,True,False,9,0.01562090523358562,265.8086378773344,False,15,12,12,12,False,0.015702668532606368,264.8748086758447,5730,22,overlap_graph_degenerate_or_disconnected;overlap_graph_negative_controls_did_not_all_fail;overlap_graph_independent_rank3_selector_false;overlap_graph_not_spatial_3d_candidate;overlap_graph_not_strict_h3_candidate,
