cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges
30,exploration,0.19236088098818696,520153,513093,-7060,513093,520153,7060,7060,590,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4938199607566732,0.27297891764882415,2351
31,exploration,0.2011970687576707,513378,506254,-7124,506254,513378,7124,7124,595,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49364217839098723,0.27255885402450764,2351
32,exploration,0.21043915097875218,506550,499200,-7350,499200,506550,7350,7350,539,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49346445996681576,0.2721449852050004,2351
33,exploration,0.2201057726044515,499518,491806,-7712,491806,499518,7712,7712,627,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4932868054646179,0.2717373030401212,2351
34,exploration,0.23021643505249703,492114,483970,-8144,483970,492114,8144,8144,635,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4931092148496745,0.27133536727061675,2351
35,exploration,0.24079153554743568,484293,475737,-8556,475737,484293,8556,8556,748,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49293168812562294,0.2709386018299322,2351
36,exploration,0.2518524082699416,476132,467274,-8858,467274,476132,8858,8858,672,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49275422526551116,0.2705465089895261,2351
37,exploration,0.26342136739633765,467632,458629,-9003,458629,467632,9003,9003,733,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4925768262271285,0.27015750363005253,2351
38,exploration,0.27552175211515756,458993,450030,-8963,450030,458993,8963,8963,764,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49239949098464175,0.2697733221882881,2351
39,exploration,0.2881779737115651,450436,441691,-8745,441691,450436,8745,8745,684,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4922222195301996,0.26939570527744056,2351
