sweep,orientation,mean_plaquette
0,01,-0.054022541318008155
0,02,0.030702685070984503
0,03,-0.13324312760168794
0,12,-0.11162374735541246
0,13,-0.04650915389569085
0,23,0.02150062066443878
1,01,-0.07946388345256535
1,02,0.0279112789868248
1,03,-0.13436831854874037
1,12,-0.11710489821675257
1,13,-0.018800575051149654
1,23,0.07056524849296349
2,01,-0.01197855754587187
2,02,0.044852628727334865
2,03,-0.07578318885865833
2,12,-0.15411584990722618
2,13,-0.06969891536321837
2,23,0.11947896707049453
3,01,0.0076953031426357996
3,02,0.0706562495342882
3,03,-0.06327573417300292
3,12,-0.20005238135795853
3,13,-0.08255348068911325
3,23,0.14709790689477953
4,01,0.01407109768036719
4,02,0.09346079891725087
4,03,-0.04779500539787587
4,12,-0.18008299620373525
4,13,-0.0659504719085448
4,23,0.1424935885994413
5,01,0.01749175879502289
5,02,0.08890796996463976
5,03,-0.0471011872641976
5,12,-0.16602929760969243
5,13,-0.06954640241574522
5,23,0.11920839886431787
6,01,0.04750815547705712
6,02,0.07524182395120346
6,03,-0.041281717945630916
6,12,-0.20540792612771147
6,13,-0.057690863553757965
6,23,0.14545597451752607
7,01,0.02773968448629096
7,02,0.06117252574893464
7,03,0.02034455350597058
7,12,-0.19708683146715225
7,13,-0.08970100519635826
7,23,0.14556060464012882
8,01,0.052429861152346525
8,02,0.051417076824362
8,03,-0.018840124081681946
8,12,-0.17171575736283276
8,13,-0.1048133391163392
8,23,0.1685462922535466
9,01,0.07183199652208541
9,02,0.050397193095065324
9,03,-0.03931476722202208
9,12,-0.16284530290396032
9,13,-0.10549790981554727
9,23,0.14860279361005663
10,01,0.03491382807126509
10,02,0.05785490822879244
10,03,-0.033124457999080245
10,12,-0.11776689722570617
10,13,-0.11064501526045292
10,23,0.10784762825783971
11,01,0.03297694522437303
11,02,0.06390001515072105
11,03,-0.004759018368820367
11,12,-0.10961722904401928
11,13,-0.10960201182811413
11,23,0.08307313555381413
12,01,0.033673257574107454
12,02,0.07856923948099667
12,03,0.013835757206906104
12,12,-0.1274470476976303
12,13,-0.12027986436766075
12,23,0.10839029072018369
13,01,0.036882359734297834
13,02,0.08396840098169256
13,03,0.04714285369117187
13,12,-0.09876385996001535
13,13,-0.14280783481197212
13,23,0.0980154700687281
14,01,0.03977385806766999
14,02,0.09739042871495868
14,03,0.08254738402321046
14,12,-0.08014350040173067
14,13,-0.14043873300645532
14,23,0.1265928034659971
15,01,0.03186685416567276
15,02,0.115653993733524
15,03,0.07864224121104693
15,12,-0.07302537244713858
15,13,-0.16565961591855224
15,23,0.1440067377264179
