k_or_row,a_or_col,B_A
2.857142857142857,0.01,0.0
1.8181818181818181,0.01,0.0
1.3333333333333333,0.01,0.0
1.0,0.01,0.0
2.857142857142857,0.1,0.0
1.8181818181818181,0.1,0.0
1.3333333333333333,0.1,0.0
1.0,0.1,0.0
