B_A,Gamma_rec_over_H,Omega_A0_external_cdm_slot,Omega_b0_external_baseline,a,c_s_A_squared,rho_A_over_rho_crit0,sigma_A,source,w_A,z
,0.0,0.26447041034523616,0.049301692328524445,0.000909090909,0.0,352010116.27511233,0.0,external_lambda_cdm_cdm_limit,0.0,1099.00000011
,0.0,0.26447041034523616,0.049301692328524445,0.01,0.0,264470.41034523613,0.0,external_lambda_cdm_cdm_limit,0.0,99.0
,0.0,0.26447041034523616,0.049301692328524445,0.1,0.0,264.47041034523613,0.0,external_lambda_cdm_cdm_limit,0.0,9.0
,0.0,0.26447041034523616,0.049301692328524445,1.0,0.0,0.26447041034523616,0.0,external_lambda_cdm_cdm_limit,0.0,0.0
