spectra,ell_min,ell_max,n_points,model,model_label,q_IR,ell_IR,fitted_parameters_in_this_proxy,chi2_diag_proxy,chi2_per_point,PTE_chi2_n_dof_proxy,delta_chi2_improvement_vs_LCDM,AIC_proxy,BIC_proxy,delta_AIC_vs_LCDM,delta_BIC_vs_LCDM
TT+TE+EE,2,29,84,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,76.94163471999849,0.9159718419047439,0.6945465742209287,0.0,76.94163471999849,76.94163471999849,0.0,0.0
TT+TE+EE,2,29,84,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,75.61977179306169,0.9002353784888296,0.7315444964160296,1.3218629269368023,75.61977179306169,75.61977179306169,-1.3218629269368023,-1.3218629269368023
TT+TE+EE,2,29,84,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,67.57898596108274,0.8045117376319373,0.9045681641812385,9.362648758915753,71.57898596108274,76.44061955876936,-5.362648758915753,-0.5010151612291338
TT+TE+EE,2,29,84,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,66.75839143158201,0.7947427551378811,0.916448367721682,10.183243288416477,70.75839143158201,75.62002502926865,-6.183243288416477,-1.3216096907298436
TT+TE+EE,2,64,189,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,193.4586970968695,1.0235909899305264,0.3967443142804552,0.0,193.4586970968695,193.4586970968695,0.0,0.0
TT+TE+EE,2,64,189,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,192.1368919270385,1.0165973117832725,0.42280943405685467,1.3218051698310092,192.1368919270385,192.1368919270385,-1.3218051698310092,-1.3218051698310092
TT+TE+EE,2,64,189,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,184.75266841324816,0.9775273461018421,0.5736813536842448,8.706028683621355,188.75266841324816,195.23616244336745,-4.706028683621355,1.7774653464979338
TT+TE+EE,2,64,189,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,187.22819863601092,0.9906253896085233,0.5227643685678349,6.230498460858598,191.22819863601092,197.7116926661302,-2.2304984608585983,4.2529955692606904
