model,model_column,n_sim,seed,ell_min,ell_max,R_OE_obs,R_OE_median,R_OE_mean,R_OE_std,PTE_R_OE_upper_tail,PTE_R_OE_two_sided,S_1_2_obs,S_1_2_median,S_1_2_mean,S_1_2_std,PTE_S_1_2_lower_tail,low_power_ratio_obs,low_power_ratio_median,low_power_ratio_mean,low_power_ratio_std,PTE_low_power_ratio_lower_tail
LCDM_bestfit_theory,D_ell_TT_LCDM_bestfit_uK2,10000,20260608,2,29,1.310819723178193,1.0014408710451117,1.0076699737233275,0.11856426373447397,0.0107,0.0214,6706.792199958817,34411.25097232094,60825.76108594234,80357.89153967795,0.0775,0.9015674180548501,0.9967164541247125,0.999811246319592,0.05839195429781082,0.0366
OPH_IR_reference_q015_ell6,D_IR_reference_uK2,10000,20260608,2,29,1.310819723178193,1.0088590676685554,1.0129825626644,0.11477201381638592,0.0093,0.0186,6706.792199958817,26021.06642741157,45741.649845841195,60118.53508882583,0.1198,0.9207792125377805,0.9988433258344607,0.9998792600106251,0.056154447409987644,0.0754
OPH_IR_bestfit,D_IR_bestfit_uK2,10000,20260608,2,29,1.310819723178193,1.0071472109928423,1.0134321414589258,0.11524918584038599,0.0094,0.0188,6706.792199958817,19850.140106161263,35195.509397990776,44799.416782897635,0.169,1.1105517563043616,0.9973737062004192,0.9996708699847826,0.056552548679131114,0.9685
OPH_parity_bestfit,D_parity_bestfit_uK2,10000,20260608,2,29,1.310819723178193,1.275571860370757,1.284321482039523,0.14856823027315844,0.4069,0.8138,6706.792199958817,22499.92053650421,36216.19206743849,41481.066703051416,0.1232,0.915947678362894,0.9967728192320005,0.9995949661221428,0.05865006405874238,0.066
OPH_IR_plus_parity_bestfit,D_joint_bestfit_uK2,10000,20260608,2,29,1.310819723178193,1.2249943825144871,1.2323635519000886,0.1413293419914174,0.2778,0.5556,6706.792199958817,14769.732217043413,23673.85711488754,27243.22848134676,0.2299,1.0844910813379347,0.9978614528968475,1.000383110200216,0.0587631466718056,0.918
