ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,838.2268011583211,0.024494895013896754,3.499359659407452e-05,2.0735254165534327,800.4476330187244,0.023390901731872134,3.341642324706404e-05,1.9800709180269611
3,399.6553752089719,0.01574820343443872,3.495133650191713e-05,1.1628264241097477,763.2855419730481,0.030076853056892224,6.675213566337966e-05,2.2208348802592686
4,228.48567299731783,0.00822592984659851,3.489479774055007e-05,0.655442744691924,727.2924856640307,0.026183947932266187,0.0001110735909720089,2.0863390546287772
5,146.95443766180526,0.003688935795921677,3.482381829633117e-05,0.37313168163274285,701.6557548949829,0.017613371000087103,0.00016627148457585273,1.7815725466812722
6,102.61562053348304,0.0015000450591998607,3.4738198802868073e-05,0.21551702833101186,685.9348963465328,0.01002706261335377,0.00023220775425058745,1.4406252159329769
7,76.0923226474559,0.0006331530383387999,3.463770460308585e-05,0.1277270690330947,678.1862797184151,0.005643088403975251,0.0003087146666765286,1.1383900865823795
8,59.00290830390659,0.0003387737889292791,3.452206820008556e-05,0.0792103428697346,676.1235249622491,0.0038820616630606927,0.0003955937615855386,0.9076836680439933
9,47.38289770762611,0.000231979533919733,3.4390992070805e-05,0.05254402956273143,678.7100149367699,0.0033228620567531553,0.0004926146747312514,0.7526377831387848
10,39.113204602918074,0.00017320481048391782,3.4244151826496314e-05,0.038159452374061126,684.7565837990993,0.00303230419313915,0.0005995138638693869,0.6680592018112748
11,32.99112162866548,0.00013252676363502408,3.408119968486668e-05,0.030532469481090348,693.0924112659429,0.0027841822172320627,0.0007159932643179991,0.6414399344387715
12,28.3668164738244,0.00010783594203088945,3.390176826647489e-05,0.026532281816050496,704.2961736080028,0.002677369221881193,0.0008417189038698079,0.6587480331949368
