snapshot_index,cycle,cluster_index,cluster_id,worldline_id,x,y,z,cluster_class,support_node_count,interpolated
60,120,4,defect_cluster_000021,worldline_000013,0.11371918573026099,-0.23510999608953484,-0.9652933422207082,threecycle,5,True
60,120,5,defect_cluster_000041,worldline_000021,0.2238709920386654,0.8219413689409836,-0.5237310043782453,transposition,5,True
60,120,6,defect_cluster_000065,worldline_000031,0.729304410738975,-0.2584091754969784,0.6335138313372868,transposition,3,True
60,120,7,defect_cluster_000078,worldline_000038,0.4648074077486832,0.8587649418081021,-0.21558489841191608,threecycle,5,True
60,120,8,defect_cluster_000085,worldline_000041,0.9012815089137969,-0.10938704389265745,0.419196989872894,transposition,5,True
60,120,9,defect_cluster_000337,worldline_000046,0.846103207561373,0.41496646288155536,-0.3345328038293506,transposition,4,True
60,120,10,defect_cluster_000106,worldline_000051,-0.910138584283315,0.04639877696855617,0.4116975964158466,threecycle,6,True
60,120,11,defect_cluster_000109,worldline_000052,-0.9042544521566679,0.04415765445381341,0.4247045882822339,threecycle,3,True
60,120,12,defect_cluster_000120,worldline_000060,-0.42795760028347785,0.6741441179879559,0.6019817277474855,threecycle,3,True
60,120,13,defect_cluster_000141,worldline_000067,0.23557667851620007,-0.24265391319899854,-0.9410752929221378,threecycle,4,True
60,120,14,defect_cluster_000152,worldline_000070,0.14898324912021155,-0.8755291625312844,-0.4596223199963779,transposition,3,True
60,120,15,defect_cluster_000161,worldline_000075,-0.07912968245917276,0.9646885492678421,0.25122598644530525,transposition,5,True
60,120,16,defect_cluster_000197,worldline_000095,0.5606401265194105,0.24600068697904437,0.7906745920681513,transposition,5,True
60,120,17,defect_cluster_000292,worldline_000106,0.7262166436041655,0.13716269265537123,0.6736436612155039,transposition,3,True
60,120,18,defect_cluster_000233,worldline_000112,-0.5128355497236995,-0.8274053929858176,-0.22891049473009234,transposition,3,True
60,120,19,defect_cluster_000312,worldline_000117,0.07861527533743567,-0.9913009251084399,-0.10555621423094921,transposition,5,True
60,120,20,defect_cluster_000247,worldline_000121,-0.27298440997911744,-0.13491705445486854,-0.9525108400042359,transposition,6,True
60,120,21,defect_cluster_000265,worldline_000126,0.3570935628347228,-0.20002087929251644,0.9124011372357295,transposition,4,True
60,120,22,defect_cluster_000274,worldline_000135,0.8964893143655004,0.06337136790253611,0.4385099530895922,transposition,6,True
60,120,23,defect_cluster_000288,worldline_000136,0.7326318271936658,0.13684799735137707,0.666725754267666,transposition,6,True
