worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,vx,vy,vz,pair_h3_separation,support_overlap_fraction,support_overlap_node_count,contact_outcome,charge_conservation_pass,transport_distance
free_pair_left,0,0,birth,transposition,1,8,0.09711268445067973,0.21055432216723544,-0.5953029636661602,0.010014321029524693,-0.01850160308553195,0.015304135309877984,1.2009077215015367,0.0,0,,True,
free_pair_left,1,1,continue,transposition,1,8,0.09841481900133342,0.17852206968443887,-0.574005607710199,0.0013021345506536918,-0.03203225248279656,0.02129735595596117,1.1412577607962193,0.0,0,,True,0.03953321223256254
free_pair_left,2,2,continue,transposition,1,8,0.09679525014204428,0.13423253544050892,-0.5435983506580869,-0.0016195688592891477,-0.04428953424392995,0.030407257052112106,1.0564456278246985,0.0,0,,True,0.05509601201993243
free_pair_left,3,3,continue,transposition,1,8,0.08526888713101881,0.08807753508506579,-0.501051580900851,-0.011526363011025475,-0.046155000355443135,0.042546769757235925,0.9448217172682621,0.0,0,,True,0.06486945206663854
free_pair_left,4,4,continue,transposition,1,8,0.07178907383135998,0.04319140572291358,-0.4417175698143186,-0.013479813299658833,-0.04488612936215221,0.0593340110865324,0.803203584568704,0.0,0,,True,0.07630729278850762
free_pair_left,5,5,continue,transposition,1,8,0.0529161126302126,-0.0010190289547294049,-0.3641683571520798,-0.018872961201147377,-0.04421043467764298,0.07754921266223881,0.6270728846800604,0.0,0,,True,0.09175118051244957
free_pair_left,6,6,continue,transposition,1,8,0.033273380891979294,-0.0538259527792372,-0.26629252959893307,-0.019642731738233304,-0.052806923824507794,0.09787582755314671,0.41212467772495437,0.0,0,,True,0.11350846251838743
free_pair_left,7,7,continue,transposition,1,8,0.016271281761025897,-0.09062897110367332,-0.18531847322741754,-0.025823081656247193,-0.05589705953767038,0.12298479461941329,0.24616632998992544,0.0,0,,True,0.09094104073832131
free_pair_left,8,8,continue,transposition,1,8,0.009369206561036725,-0.10806566874181571,-0.13459403704750322,-0.02051883795435962,-0.051836695910929806,0.15079616726047126,0.15349233516632443,0.302307567425798,2,,True,0.05427255882653663
free_pair_left,9,9,continue,transposition,1,8,0.006542451254911586,-0.11635455044264918,-0.10203243936674136,-0.01556495661138507,-0.045641051332182506,0.1792938546892387,0.1051490003136087,0.522049998574506,4,,True,0.033825858687768925
free_pair_left,10,10,contact_scatter,transposition,1,8,0.00640860303155266,-0.11976347095483444,-0.07918979056881413,-0.08238408526358938,-0.10739327373150909,0.16179444188679748,0.08219535718585881,0.6263847400642781,5,scatter,True,0.023161433636045815
free_pair_left,11,11,continue,transposition,1,8,0.0011332956201906977,-0.12787276978965478,-0.06395339001982826,-0.05897404513073763,-0.09065597853753568,0.1703317178579177,0.09440436102172484,0.570889268083069,5,scatter,True,0.01810972336030022
free_pair_left,12,12,continue,transposition,1,8,-0.00256963392451144,-0.13594472609909017,-0.045231827188010595,-0.034033871332389436,-0.07418988644519055,0.17207112716225884,0.11635238163854801,0.47112553800659995,4,scatter,True,0.02079156409395095
free_pair_left,13,13,continue,transposition,1,8,-0.004735477077039601,-0.14425413377510032,-0.021187564851185402,-0.014413639800500616,-0.055298930145389606,0.16001405096541743,0.15052537887326314,0.31579373239425845,3,scatter,True,0.025619068484267843
free_pair_left,14,14,continue,transposition,1,8,-0.0033740653449093137,-0.15301186392071153,0.0106255077481615,0.006224416573421559,-0.04004061326737507,0.14545035250209506,0.1998800204545681,0.09145445247923589,1,scatter,True,0.033140122094477246
free_pair_left,15,15,continue,transposition,1,8,0.003216689349636097,-0.1631076620405772,0.05278095682256656,0.01904284972594403,-0.02917006858397882,0.12180090430583859,0.27043887566427705,0.0,0,scatter,True,0.044003168442365036
free_pair_left,16,16,continue,transposition,1,8,0.019570667555095657,-0.17273106715690276,0.1089697045326033,0.028645578445652343,-0.016856327109569476,0.09842003945886973,0.3674987217910776,0.0,0,scatter,True,0.0595382978092614
free_pair_left,17,17,continue,transposition,1,8,0.054290941508802315,-0.18086010747588416,0.18119020811999903,0.03568591510755016,-0.008355125397795243,0.07422910209408601,0.49267767321534867,0.0,0,scatter,True,0.08090586934161134
free_pair_left,18,18,continue,transposition,1,8,0.09253589048573711,-0.18379361814588244,0.23186479537061247,0.0382449489769348,-0.0029335106699982885,0.05067458725061344,0.5823313178953687,0.0,0,scatter,True,0.06391842020568649
free_pair_left,19,19,continue,transposition,1,8,0.13326586329152404,-0.18712182159070948,0.2601086071922888,0.04072997280578693,-0.003328203444827048,0.028243811821676335,0.634234305139747,0.0,0,scatter,True,0.05007507747667243
free_pair_left,20,20,continue,transposition,1,8,0.17356832943977663,-0.19357550986655192,0.26702267920835915,0.04030246614825257,-0.006453688275842455,0.006914072016070378,0.6488154459106726,0.0,0,scatter,True,0.04195151241470441
free_pair_left,21,21,continue,transposition,1,8,0.21281461103490532,-0.20051982714927122,0.25269440927992237,0.0392462815951287,-0.006944317282719287,-0.014328269928436768,0.6264219260444255,0.0,0,scatter,True,0.043267389189765894
free_pair_left,22,22,continue,transposition,1,8,0.24940215774963917,-0.2097686645745359,0.21695649655894544,0.03658754671473385,-0.009248837425264684,-0.03573791272097692,0.5675725569496541,0.0,0,scatter,True,0.053277008662480856
free_pair_left,23,23,continue,transposition,1,8,0.2790787882754291,-0.22128640618222672,0.15958038961699106,0.02967663052578991,-0.01151774160769081,-0.057376106941954386,0.47344538896332194,0.0,0,scatter,True,0.06728589060727094
