control_name,mode,step,cycle,left_x,left_y,left_z,right_x,right_y,right_z,tangent_separation,h3_separation,stress_kernel,local_readout_contraction
noContraction,no_contraction_control,40,40,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,41,41,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,42,42,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,43,43,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,44,44,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,45,45,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,46,46,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,47,47,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,48,48,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,49,49,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,50,50,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,51,51,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,52,52,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,53,53,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,54,54,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,55,55,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,56,56,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,57,57,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,58,58,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,59,59,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,60,60,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,61,61,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,62,62,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
noContraction,no_contraction_control,63,63,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,1.0
shuffledPair,shuffled_pair_control,0,0,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,0.9836065573770492
shuffledPair,shuffled_pair_control,1,1,-0.6163934426229508,0.0,0.0,0.6163934426229508,0.0,0.0,1.2327868852459016,1.2327868852459016,0.3968626413709839,0.9841254943451606
shuffledPair,shuffled_pair_control,2,2,-0.6322679482777902,0.0,0.0,0.6322679482777902,0.0,0.0,1.2645358965555804,1.2645358965555804,0.38475581550432747,0.9846097673798269
shuffledPair,shuffled_pair_control,3,3,-0.6476581808979633,0.0,0.0,0.6476581808979633,0.0,0.0,1.2953163617959267,1.2953163617959265,0.37343468171438726,0.9850626127314245
shuffledPair,shuffled_pair_control,4,4,-0.6625955681665389,0.0,0.0,0.6625955681665389,0.0,0.0,1.3251911363330777,1.3251911363330777,0.36282738419815425,0.9854869046320738
shuffledPair,shuffled_pair_control,5,5,-0.6771086635344651,0.0,0.0,0.6771086635344651,0.0,0.0,1.3542173270689302,1.35421732706893,0.3528700334380911,0.9858851986624764
shuffledPair,shuffled_pair_control,6,6,-0.6912234648719887,0.0,0.0,0.6912234648719887,0.0,0.0,1.3824469297439774,1.3824469297439774,0.3435057389822029,0.9862597704407119
shuffledPair,shuffled_pair_control,7,7,-0.7049636944312768,0.0,0.0,0.7049636944312768,0.0,0.0,1.4099273888625536,1.4099273888625539,0.3346837553032444,0.9866126497878702
shuffledPair,shuffled_pair_control,8,8,-0.7183510446434066,0.0,0.0,0.7183510446434066,0.0,0.0,1.4367020892868132,1.4367020892868132,0.3263587324627186,0.9869456507014912
shuffledPair,shuffled_pair_control,9,9,-0.7314053939419154,0.0,0.0,0.7314053939419154,0.0,0.0,1.4628107878838308,1.462810787883831,0.3184900614328966,0.9872603975426841
shuffledPair,shuffled_pair_control,10,10,-0.7441449963992313,0.0,0.0,0.7441449963992313,0.0,0.0,1.4882899927984625,1.4882899927984625,0.31104130350796777,0.9875583478596813
shuffledPair,shuffled_pair_control,11,11,-0.7565866485395499,0.0,0.0,0.7565866485395499,0.0,0.0,1.5131732970790999,1.5131732970790999,0.303979693607497,0.9878408122557001
shuffledPair,shuffled_pair_control,12,12,-0.7687458362838498,0.0,0.0,0.7687458362838498,0.0,0.0,1.5374916725676997,1.5374916725676997,0.2972757080477897,0.9881089716780884
shuffledPair,shuffled_pair_control,13,13,-0.7806368646057614,0.0,0.0,0.7806368646057614,0.0,0.0,1.5612737292115229,1.5612737292115226,0.29090268829739074,0.9883638924681044
shuffledPair,shuffled_pair_control,14,14,-0.792272972137657,0.0,0.0,0.792272972137657,0.0,0.0,1.584545944275314,1.5845459442753138,0.2848365132088327,0.9886065394716467
shuffledPair,shuffled_pair_control,15,15,-0.8036664326660103,0.0,0.0,0.8036664326660103,0.0,0.0,1.6073328653320207,1.6073328653320205,0.2790553131572324,0.9888377874737106
shuffledPair,shuffled_pair_control,16,16,-0.8148286451922997,0.0,0.0,0.8148286451922997,0.0,0.0,1.6296572903845994,1.6296572903845994,0.27353922038102113,0.9890584311847591
shuffledPair,shuffled_pair_control,17,17,-0.8257702140075406,0.0,0.0,0.8257702140075406,0.0,0.0,1.6515404280150812,1.6515404280150814,0.26827015059593395,0.9892691939761626
shuffledPair,shuffled_pair_control,18,18,-0.8365010200313779,0.0,0.0,0.8365010200313779,0.0,0.0,1.6730020400627559,1.6730020400627559,0.263231611637587,0.9894707355344965
shuffledPair,shuffled_pair_control,19,19,-0.8470302844968814,0.0,0.0,0.8470302844968814,0.0,0.0,1.694060568993763,1.694060568993763,0.2584085354843788,0.9896636585806249
shuffledPair,shuffled_pair_control,20,20,-0.8573666259162566,0.0,0.0,0.8573666259162566,0.0,0.0,1.7147332518325131,1.7147332518325131,0.2537871305282603,0.9898485147788696
shuffledPair,shuffled_pair_control,21,21,-0.867518111137387,0.0,0.0,0.867518111137387,0.0,0.0,1.735036222274774,1.7350362222747742,0.24935475140462127,0.9900258099438152
shuffledPair,shuffled_pair_control,22,22,-0.8774923011935718,0.0,0.0,0.8774923011935718,0.0,0.0,1.7549846023871436,1.7549846023871436,0.24509978407288144,0.9901960086370848
shuffledPair,shuffled_pair_control,23,23,-0.887296292556487,0.0,0.0,0.887296292556487,0.0,0.0,1.774592585112974,1.774592585112974,0.24101154416465653,0.9903595382334137
shuffledPair,shuffled_pair_control,24,24,-0.8969367543230733,0.0,0.0,0.8969367543230733,0.0,0.0,1.7938735086461466,1.7938735086461466,0.2370801868942186,0.9905167925242313
shuffledPair,shuffled_pair_control,25,25,-0.906419961798842,0.0,0.0,0.906419961798842,0.0,0.0,1.812839923597684,1.812839923597684,0.2332966270631633,0.9906681349174735
shuffledPair,shuffled_pair_control,26,26,-0.9157518268813685,0.0,0.0,0.9157518268813685,0.0,0.0,1.831503653762737,1.831503653762737,0.22965246789368662,0.9908139012842525
shuffledPair,shuffled_pair_control,27,27,-0.924937925597116,0.0,0.0,0.924937925597116,0.0,0.0,1.849875851194232,1.849875851194232,0.22613993759781165,0.9909544024960876
shuffledPair,shuffled_pair_control,28,28,-0.9339835231010284,0.0,0.0,0.9339835231010284,0.0,0.0,1.8679670462020568,1.8679670462020568,0.22275183273771107,0.9910899266904916
shuffledPair,shuffled_pair_control,29,29,-0.9428935964105368,0.0,0.0,0.9428935964105368,0.0,0.0,1.8857871928210737,1.8857871928210737,0.219481467558724,0.991220741297651
shuffledPair,shuffled_pair_control,30,30,-0.9516728551128858,0.0,0.0,0.9516728551128858,0.0,0.0,1.9033457102257716,1.9033457102257714,0.2163226285849823,0.9913470948566007
shuffledPair,shuffled_pair_control,31,31,-0.9603257602562851,0.0,0.0,0.9603257602562851,0.0,0.0,1.9206515205125703,1.9206515205125703,0.2132695338604607,0.9914692186455816
shuffledPair,shuffled_pair_control,32,32,-0.9688565416107036,0.0,0.0,0.9688565416107036,0.0,0.0,1.9377130832214071,1.9377130832214071,0.21031679629806616,0.9915873281480774
shuffledPair,shuffled_pair_control,33,33,-0.9772692134626262,0.0,0.0,0.9772692134626262,0.0,0.0,1.9545384269252524,1.9545384269252526,0.20745939066802568,0.991701624373279
shuffledPair,shuffled_pair_control,34,34,-0.9855675890893472,0.0,0.0,0.9855675890893472,0.0,0.0,1.9711351781786943,1.971135178178694,0.20469262381598857,0.9918122950473605
shuffledPair,shuffled_pair_control,35,35,-0.9937552940419867,0.0,0.0,0.9937552940419867,0.0,0.0,1.9875105880839734,1.9875105880839734,0.20201210775230374,0.9919195156899079
shuffledPair,shuffled_pair_control,36,36,-1.0018357783520788,0.0,0.0,1.0018357783520788,0.0,0.0,2.0036715567041576,2.0036715567041576,0.19941373529807507,0.992023450588077
shuffledPair,shuffled_pair_control,37,37,-1.0098123277640019,0.0,0.0,1.0098123277640019,0.0,0.0,2.0196246555280037,2.0196246555280037,0.19689365801181113,0.9921242536795275
shuffledPair,shuffled_pair_control,38,38,-1.0176880740844743,0.0,0.0,1.0176880740844743,0.0,0.0,2.0353761481689485,2.0353761481689485,0.19444826615364766,0.992222069353854
shuffledPair,shuffled_pair_control,39,39,-1.02546600473062,0.0,0.0,1.02546600473062,0.0,0.0,2.05093200946124,2.05093200946124,0.19207417047292683,0.9923170331810829
shuffledPair,shuffled_pair_control,40,40,-1.0331489715495372,0.0,0.0,1.0331489715495372,0.0,0.0,2.0662979430990744,2.0662979430990744,0.1897681856299984,0.9924092725748
shuffledPair,shuffled_pair_control,41,41,-1.040739698974737,0.0,0.0,1.040739698974737,0.0,0.0,2.081479397949474,2.081479397949474,0.1875273150849719,0.9924989073966011
shuffledPair,shuffled_pair_control,42,42,-1.048240791578136,0.0,0.0,1.048240791578136,0.0,0.0,2.096481583156272,2.096481583156272,0.1853487373052466,0.9925860505077901
shuffledPair,shuffled_pair_control,43,43,-1.0556547410703458,0.0,0.0,1.0556547410703458,0.0,0.0,2.1113094821406917,2.1113094821406917,0.18322979316035473,0.9926708082735858
shuffledPair,shuffled_pair_control,44,44,-1.06298393279676,0.0,0.0,1.06298393279676,0.0,0.0,2.12596786559352,2.12596786559352,0.18116797438729165,0.9927532810245083
shuffledPair,shuffled_pair_control,45,45,-1.0702306517722517,0.0,0.0,1.0702306517722517,0.0,0.0,2.1404613035445035,2.1404613035445035,0.17916091302235843,0.9928335634791057
shuffledPair,shuffled_pair_control,46,46,-1.077397088293146,0.0,0.0,1.077397088293146,0.0,0.0,2.154794176586292,2.154794176586292,0.17720637170683856,0.9929117451317264
shuffledPair,shuffled_pair_control,47,47,-1.0844853431614196,0.0,0.0,1.0844853431614196,0.0,0.0,2.1689706863228393,2.1689706863228393,0.17530223478377766,0.9929879106086489
shuffledPair,shuffled_pair_control,48,48,-1.0914974325527707,0.0,0.0,1.0914974325527707,0.0,0.0,2.1829948651055413,2.1829948651055413,0.17344650011190774,0.9930621399955237
shuffledPair,shuffled_pair_control,49,49,-1.098435292557247,0.0,0.0,1.098435292557247,0.0,0.0,2.196870585114494,2.196870585114494,0.17163727153050456,0.9931345091387798
shuffledPair,shuffled_pair_control,50,50,-1.1053007834184672,0.0,0.0,1.1053007834184672,0.0,0.0,2.2106015668369343,2.2106015668369343,0.1698727519158223,0.9932050899233671
shuffledPair,shuffled_pair_control,51,51,-1.1120956934951,0.0,0.0,1.1120956934951,0.0,0.0,2.2241913869902,2.2241913869902,0.16815123677581909,0.9932739505289673
