worldline_id,event_index,cycle,x,y,z,fit_residual,support_node_count,particle_like
worldline_000000,0,0.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,1,11.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,2,23.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,3,34.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,4,46.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,5,57.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,6,69.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,7,80.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,8,92.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,9,103.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,10,115.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000000,11,127.0,0.23381216993744644,1.15272928681737,1.1652529363365562,0.4692802707178415,5,False
worldline_000002,0,0.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,1,11.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,2,23.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,3,34.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,4,46.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,5,57.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,6,69.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,7,80.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,8,92.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,9,103.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,10,115.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000002,11,127.0,-1.855816614110877,-2.2086459382188828,0.7244896588148041,0.5821576470388109,6,False
worldline_000003,0,0.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,1,11.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,2,23.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,3,34.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,4,46.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,5,57.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
worldline_000003,6,69.0,-2.106497144767686,-2.4451944057209145,0.5878472567429814,0.5554256131548284,6,False
