control_name,mode,step,cycle,left_x,left_y,left_z,right_x,right_y,right_z,tangent_separation,h3_separation,stress_kernel,local_readout_contraction
stress_contraction,stress_contraction,0,0,-0.6,0.0,0.0,0.6,0.0,0.0,1.2,1.1999999999999997,0.40983606557377056,0.9836065573770492
stress_contraction,stress_contraction,1,1,-0.5836065573770491,0.0,0.0,0.5836065573770491,0.0,0.0,1.1672131147540983,1.167213114754098,0.4233007676521313,0.9830679692939147
stress_contraction,stress_contraction,2,2,-0.5666745266709639,0.0,0.0,0.5666745266709639,0.0,0.0,1.1333490533419277,1.1333490533419275,0.43773636294508467,0.9824905454821966
stress_contraction,stress_contraction,3,3,-0.5491650721531605,0.0,0.0,0.5491650721531605,0.0,0.0,1.098330144306321,1.098330144306321,0.4532415392289058,0.9818703384308438
stress_contraction,stress_contraction,4,4,-0.5310354105840043,0.0,0.0,0.5310354105840043,0.0,0.0,1.0620708211680085,1.0620708211680083,0.46992604223451373,0.9812029583106194
stress_contraction,stress_contraction,5,5,-0.5122383688946237,0.0,0.0,0.5122383688946237,0.0,0.0,1.0244767377892474,1.0244767377892472,0.4879113649966289,0.9804835454001348
stress_contraction,stress_contraction,6,6,-0.49272191429475853,0.0,0.0,0.49272191429475853,0.0,0.0,0.9854438285895171,0.9854438285895171,0.5073310505427397,0.9797067579782904
stress_contraction,stress_contraction,7,7,-0.47242867227304897,0.0,0.0,0.47242867227304897,0.0,0.0,0.9448573445460979,0.9448573445460978,0.5283302846130795,0.9788667886154768
stress_contraction,stress_contraction,8,8,-0.4512954608885258,0.0,0.0,0.4512954608885258,0.0,0.0,0.9025909217770516,0.9025909217770514,0.5510642678630948,0.9779574292854762
stress_contraction,stress_contraction,9,9,-0.429252890174002,0.0,0.0,0.429252890174002,0.0,0.0,0.858505780348004,0.858505780348004,0.5756945751812502,0.9769722169927499
stress_contraction,stress_contraction,10,10,-0.406225107166752,0.0,0.0,0.406225107166752,0.0,0.0,0.812450214333504,0.8124502143335036,0.6023822951987273,0.9759047081920509
stress_contraction,stress_contraction,11,11,-0.38212981535880286,0.0,0.0,0.38212981535880286,0.0,0.0,0.7642596307176057,0.7642596307176059,0.6312761541750616,0.9747489538329975
stress_contraction,stress_contraction,12,12,-0.3568787691918004,0.0,0.0,0.3568787691918004,0.0,0.0,0.7137575383836008,0.7137575383836008,0.6624930384339713,0.9735002784626412
stress_contraction,stress_contraction,13,13,-0.33037904765444154,0.0,0.0,0.33037904765444154,0.0,0.0,0.6607580953088831,0.6607580953088831,0.6960873747532865,0.9721565050098685
stress_contraction,stress_contraction,14,14,-0.3025355526643101,0.0,0.0,0.3025355526643101,0.0,0.0,0.6050711053286202,0.6050711053286206,0.7320049167945772,0.970719803328217
stress_contraction,stress_contraction,15,15,-0.273255355992527,0.0,0.0,0.273255355992527,0.0,0.0,0.546510711985054,0.5465107119850537,0.7700162104566501,0.969199351581734
stress_contraction,stress_contraction,16,16,-0.24245470757426096,0.0,0.0,0.24245470757426096,0.0,0.0,0.4849094151485219,0.48490941514852137,0.8096266939811998,0.967614932240752
stress_contraction,stress_contraction,17,17,-0.21006963981501298,0.0,0.0,0.21006963981501298,0.0,0.0,0.42013927963002595,0.42013927963002595,0.8499664585005126,0.9660013416599795
stress_contraction,stress_contraction,18,18,-0.17607098147499248,0.0,0.0,0.17607098147499248,0.0,0.0,0.35214196294998495,0.35214196294998534,0.8896765792160823,0.9644129368313568
stress_contraction,stress_contraction,19,19,-0.14048391830634918,0.0,0.0,0.14048391830634918,0.0,0.0,0.28096783661269836,0.2809678366126982,0.926833085081498,0.9629266765967401
stress_contraction,stress_contraction,20,20,-0.10341059490308926,0.0,0.0,0.10341059490308926,0.0,0.0,0.20682118980617853,0.2068211898061794,0.9589796414700349,0.9616408143411986
stress_contraction,stress_contraction,21,21,-0.06505140924428787,0.0,0.0,0.06505140924428787,0.0,0.0,0.13010281848857574,0.1301028184885746,0.9833550022271682,0.9606657999109133
stress_contraction,stress_contraction,22,22,-0.032525704622143936,0.0,0.0,0.032525704622143936,0.0,0.0,0.06505140924428787,0.06505140924429044,0.995786145862238,0.9601685541655105
stress_contraction,stress_contraction,23,23,-0.016262852311071968,0.0,0.0,0.016262852311071968,0.0,0.0,0.032525704622143936,0.03252570462214563,0.9989431965538789,0.9600422721378449
stress_contraction,stress_contraction,24,24,-0.008131426155535984,0.0,0.0,0.008131426155535984,0.0,0.0,0.016262852311071968,0.016262852311059853,0.9997355895660768,0.960010576417357
stress_contraction,stress_contraction,25,25,-0.004065713077767992,0.0,0.0,0.004065713077767992,0.0,0.0,0.008131426155535984,0.008131426155527232,0.9999338842802546,0.9600026446287898
stress_contraction,stress_contraction,26,26,-0.002032856538883996,0.0,0.0,0.002032856538883996,0.0,0.0,0.004065713077767992,0.0040657130777527264,0.9999834702504066,0.9600006611899837
stress_contraction,stress_contraction,27,27,-0.001016428269441998,0.0,0.0,0.001016428269441998,0.0,0.0,0.002032856538883996,0.0020328565389684068,0.9999958675113695,0.9600001652995452
stress_contraction,stress_contraction,28,28,-0.000508214134720999,0.0,0.0,0.000508214134720999,0.0,0.0,0.001016428269441998,0.0010164282692362247,0.999998966874641,0.9600000413250144
stress_contraction,stress_contraction,29,29,-0.0002541070673604995,0.0,0.0,0.0002541070673604995,0.0,0.0,0.000508214134720999,0.000508214134532499,0.9999997417184602,0.9600000103312616
stress_contraction,stress_contraction,30,30,-0.00012705353368024975,0.0,0.0,0.00012705353368024975,0.0,0.0,0.0002541070673604995,0.0002541070680064894,0.9999999354296023,0.9600000025828159
stress_contraction,stress_contraction,31,31,-6.352676684012488e-05,0.0,0.0,6.352676684012488e-05,0.0,0.0,0.00012705353368024975,0.0001270535325119705,0.9999999838574001,0.960000000645704
stress_contraction,stress_contraction,32,32,-3.176338342006244e-05,0.0,0.0,3.176338342006244e-05,0.0,0.0,6.352676684012488e-05,6.35267662880317e-05,0.99999999596435,0.960000000161426
stress_contraction,stress_contraction,33,33,-1.588169171003122e-05,0.0,0.0,1.588169171003122e-05,0.0,0.0,3.176338342006244e-05,3.1763383148021666e-05,0.9999999989910875,0.9600000000403565
