screen_point_index,x,y,z,field_name,value
0,-0.007055300287902355,0.9999542236328125,0.006463232915848494,record_signature,0.9668420037017194
1,0.008892613463103771,0.9998931884765625,0.011598839424550533,record_signature,0.01208026933258515
2,-0.005170553922653198,0.9998016357421875,0.019234202802181244,record_signature,0.6764737683367975
3,-0.009860731661319733,0.9997711181640625,-0.018986238166689873,record_signature,0.03106247069500961
4,-0.02266000211238861,0.9993743896484375,-0.027154255658388138,record_signature,0.06938587086886937
5,-0.03574134781956673,0.9989776611328125,-0.027680110186338425,record_signature,0.30223210259415234
6,-0.03160145506262779,0.9989166259765625,0.03416024520993233,record_signature,0.319054490598002
7,0.03213486075401306,0.9988555908203125,0.035423994064331055,record_signature,0.3880996949952983
8,-0.04825424775481224,0.9988250732421875,-0.004472192842513323,record_signature,0.7787491375559651
9,-0.02679675817489624,0.9987335205078125,-0.04258272796869278,record_signature,0.00899135305548768
10,0.051435306668281555,0.9985504150390625,-0.015858054161071777,record_signature,0.28331434418815754
11,0.04524364322423935,0.9984588623046875,0.03213896602392197,record_signature,0.015495107974285587
12,0.018609696999192238,0.9976043701171875,-0.06662732362747192,record_signature,0.8229459346530832
13,0.031482286751270294,0.9975738525390625,0.062090855091810226,record_signature,0.01632905535799985
14,-0.07064805179834366,0.9969940185546875,0.03180849179625511,record_signature,0.7046934372514088
15,-0.08177930116653442,0.9963531494140625,0.02434229478240013,record_signature,0.30684693909752614
16,0.08617358654737473,0.9962310791015625,-0.009886838495731354,record_signature,0.7967956830634357
17,0.08701961487531662,0.9959869384765625,0.020919015631079674,record_signature,0.9044567382896871
18,-0.0991373136639595,0.9950714111328125,0.0021631631534546614,record_signature,0.17585167049007513
19,-0.0626077800989151,0.9949798583984375,-0.07807270437479019,record_signature,0.42738952395848406
20,0.015559573657810688,0.9946136474609375,0.10247727483510971,record_signature,0.561527542078043
21,0.06908654421567917,0.9944610595703125,0.07921016216278076,record_signature,0.16862467832411066
22,-0.10473450273275375,0.9944305419921875,-0.011772026307880878,record_signature,0.9442111963126971
23,0.10218163579702377,0.9943084716796875,0.030159195885062218,record_signature,0.2513239259607855
24,-0.020708434283733368,0.9940948486328125,-0.1065203845500946,record_signature,0.2697609402567061
25,-0.03657360374927521,0.9937286376953125,0.10566818714141846,record_signature,0.6847450743904864
26,-0.006652331445366144,0.9934539794921875,-0.11403919011354446,record_signature,0.18041499746418604
27,0.08212773501873016,0.9934234619140625,0.07978007197380066,record_signature,0.536349688054359
28,0.10951671004295349,0.9931182861328125,-0.04149892181158066,record_signature,0.502392657620108
29,-0.052838459610939026,0.9930877685546875,0.10480830818414688,record_signature,0.35232749093064974
