worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,pair_h3_separation,local_readout_contraction,transport_distance
stress_pair_left,0,0,birth,transposition,1,8,-0.6,0.0,0.0,1.1999999999999997,0.9836065573770492,
stress_pair_left,1,1,continue,transposition,1,8,-0.5836065573770491,0.0,0.0,1.167213114754098,0.9830679692939147,0.01639344262293499
stress_pair_left,2,2,continue,transposition,1,8,-0.5666745266709639,0.0,0.0,1.1333490533419275,0.9824905454821966,0.01693203070608535
stress_pair_left,3,3,continue,transposition,1,8,-0.5491650721531605,0.0,0.0,1.098330144306321,0.9818703384308438,0.01750945451781488
stress_pair_left,4,4,continue,transposition,1,8,-0.5310354105840043,0.0,0.0,1.0620708211680083,0.9812029583106194,0.0181296615691477
stress_pair_left,5,5,continue,transposition,1,8,-0.5122383688946237,0.0,0.0,1.0244767377892472,0.9804835454001348,0.018797041689376924
stress_pair_left,6,6,continue,transposition,1,8,-0.49272191429475853,0.0,0.0,0.9854438285895171,0.9797067579782904,0.01951645459986258
stress_pair_left,7,7,continue,transposition,1,8,-0.47242867227304897,0.0,0.0,0.9448573445460978,0.9788667886154768,0.020293242021700835
stress_pair_left,8,8,continue,transposition,1,8,-0.4512954608885258,0.0,0.0,0.9025909217770514,0.9779574292854762,0.02113321138451857
stress_pair_left,9,9,continue,transposition,1,8,-0.429252890174002,0.0,0.0,0.858505780348004,0.9769722169927499,0.02204257071451863
stress_pair_left,10,10,continue,transposition,1,8,-0.406225107166752,0.0,0.0,0.8124502143335036,0.9759047081920509,0.02302778300724333
stress_pair_left,11,11,continue,transposition,1,8,-0.38212981535880286,0.0,0.0,0.7642596307176059,0.9747489538329975,0.024095291807952852
stress_pair_left,12,12,continue,transposition,1,8,-0.3568787691918004,0.0,0.0,0.7137575383836008,0.9735002784626412,0.025251046167004094
stress_pair_left,13,13,continue,transposition,1,8,-0.33037904765444154,0.0,0.0,0.6607580953088831,0.9721565050098685,0.026499721537360108
