mode,step,cycle,left_x,left_y,left_z,right_x,right_y,right_z,left_vx,left_vy,left_vz,right_vx,right_vy,right_vz,tangent_separation,h3_separation,stress_kernel,relative_speed,support_overlap_fraction,support_overlap_node_count,contact_event,contact_outcome,charge_conservation_pass
free_two_defect_dynamics,0,0,0.09711268445067973,0.21055432216723544,-0.5953029636661602,-0.21599110999070864,-0.1969778549559081,0.48907867511037106,0.010014321029524693,-0.01850160308553195,0.015304135309877984,0.01914651503406519,-0.006615247919440264,-0.01632366248777085,1.2,1.2009077215015367,0.40947033547004685,0.035,0.0,0,,,True
free_two_defect_dynamics,1,1,0.09841481900133342,0.17852206968443887,-0.574005607710199,-0.1897845140533323,-0.19287010576765226,0.4652295923197866,0.0013021345506536918,-0.03203225248279656,0.02129735595596117,0.02620659593737634,0.00410774918825585,-0.02384908279058447,1.1406142224878466,1.1412577607962193,0.4343163273328902,0.06296453644109537,0.0,0,,,True
free_two_defect_dynamics,2,2,0.09679525014204428,0.13423253544050892,-0.5435983506580869,-0.16054507621469158,-0.17890951073260072,0.4314421543488741,-0.0016195688592891477,-0.04428953424392995,0.030407257052112106,0.02923943783864073,0.01396059503505153,-0.033787437970912514,1.0559289611783091,1.0564456278246985,0.4725725140076316,0.09201257916448206,0.0,0,,,True
free_two_defect_dynamics,3,3,0.08526888713101881,0.08807753508506579,-0.501051580900851,-0.12333434712979117,-0.16238179158130256,0.3852297136602544,-0.011526363011025475,-0.046155000355443135,0.042546769757235925,0.037210729084900404,0.016527719151298175,-0.046212440688619766,0.9443197110868489,0.9448217172682621,0.528349077657961,0.11909082630370514,0.0,0,,,True
free_two_defect_dynamics,4,4,0.07178907383135998,0.04319140572291358,-0.4417175698143186,-0.08370577688422601,-0.14548108893603914,0.3228033160051553,-0.013479813299658833,-0.04488612936215221,0.0593340110865324,0.03962857024556517,0.016900702645263405,-0.062426397655099025,0.8026631570553665,0.803203584568704,0.6078524821383902,0.14650498335970819,0.0,0,,,True
free_two_defect_dynamics,5,5,0.0529161126302126,-0.0010190289547294049,-0.3641683571520798,-0.039242204397253753,-0.12776744660131822,0.24241556933544955,-0.018872961201147377,-0.04421043467764298,0.07754921266223881,0.044463572486972254,0.017713642334720926,-0.08038774666970577,0.6265001010744352,0.6270728846800604,0.717761524351313,0.18108061999142758,0.0,0,,,True
free_two_defect_dynamics,6,6,0.033273380891979294,-0.0538259527792372,-0.26629252959893307,0.006710453516685817,-0.10272935666820136,0.14154469455442362,-0.019642731738233304,-0.052806923824507794,0.09787582755314671,0.04595265791393957,0.025038089933116858,-0.10087087478102594,0.411616731229171,0.41212467772495437,0.8548128205755461,0.22329991715012654,0.0,0,,,True
free_two_defect_dynamics,7,7,0.016271281761025897,-0.09062897110367332,-0.18531847322741754,0.039840027600663304,-0.08438493273672228,0.05928750781951672,-0.025823081656247193,-0.05589705953767038,0.12298479461941329,0.05077537679054491,0.02811521315563233,-0.12606982630105906,0.2458181436743727,0.24616632998992544,0.9428644312885428,0.27377653296321613,0.0,0,,,True
free_two_defect_dynamics,8,8,0.009369206561036725,-0.10806566874181571,-0.13459403704750322,0.055210990934189484,-0.07605700757410379,0.008111100745106695,-0.02051883795435962,-0.051836695910929806,0.15079616726047126,0.04624879990356547,0.025057410918268942,-0.15398172249916067,0.15326702168657091,0.15349233516632443,0.9769823954368434,0.3213412255166175,0.302307567425798,2,,,True
free_two_defect_dynamics,9,9,0.006542451254911586,-0.11635455044264918,-0.10203243936674136,0.06243365664193843,-0.072659999417016,-0.024649350787033418,-0.01556495661138507,-0.045641051332182506,0.1792938546892387,0.04015116595761799,0.01888414109049541,-0.18211701600729543,0.10498182236502378,0.1051490003136087,0.9890645930075237,0.3713295089660054,0.522049998574506,4,,,True
